Dates,Gold,Silver,,,,
18.11.24 07:40,2584.74,30.65,,,,
18.11.24 07:45,2587.62,30.6889,,,,
18.11.24 07:50,2586.5,30.6555,,,,
18.11.24 07:55,2586.08,30.6475,,,,
18.11.24 08:00,2584.43,30.6385,,,,
18.11.24 08:05,2584.52,30.6325,,,,
18.11.24 08:10,2585.65,30.64475,,,,
18.11.24 08:15,2586.29,30.65,,,,
18.11.24 08:20,2584.64,30.62075,,,,
18.11.24 08:25,2583.51,30.60075,,,,
18.11.24 08:30,2583.54,30.606,,,,
18.11.24 08:35,2583.16,30.6185,,,,
18.11.24 08:40,2583.03,30.6089,,,,
18.11.24 08:45,2583.39,30.6058,,,,
18.11.24 08:50,2582.93,30.6036,,,,
18.11.24 08:55,2582.66,30.6045,,,,
18.11.24 09:00,2583.95,30.6475,,,,
18.11.24 09:05,2583.53,30.644,,,,
18.11.24 09:10,2586.05,30.663,,,,
18.11.24 09:15,2589.37,30.7105,,,,
18.11.24 09:20,2586.66,30.705,,,,
18.11.24 09:25,2587.26,30.7035,,,,
18.11.24 09:30,2586.39,30.6855,,,,
18.11.24 09:35,2586.78,30.69375,,,,
18.11.24 09:40,2585.27,30.6415,,,,
18.11.24 09:45,2585.58,30.64775,,,,
18.11.24 09:50,2586.09,30.6435,,,,
18.11.24 09:55,2585.54,30.6455,,,,
18.11.24 10:00,2586.14,30.6305,,,,
18.11.24 10:05,2584.26,30.6307,,,,
18.11.24 10:10,2587.22,30.67285,,,,
18.11.24 10:15,2588.74,30.663,,,,
18.11.24 10:20,2589.82,30.67635,,,,
18.11.24 10:25,2591.74,30.699,,,,
18.11.24 10:30,2591.28,30.6998,,,,
18.11.24 10:35,2592.52,30.70765,,,,
18.11.24 10:40,2593.71,30.724,,,,
18.11.24 10:45,2595.61,30.76,,,,
18.11.24 10:50,2595.77,30.749,,,,
18.11.24 10:55,2595.91,30.7599,,,,
18.11.24 11:00,2594.57,30.74875,,,,
18.11.24 11:05,2593.4,30.7325,,,,
18.11.24 11:10,2591.58,30.7145,,,,
18.11.24 11:15,2592.21,30.73475,,,,
18.11.24 11:20,2591.86,30.74445,,,,
18.11.24 11:25,2591.63,30.737,,,,
18.11.24 11:30,2590.78,30.72975,,,,
18.11.24 11:35,2591.91,30.751,,,,
18.11.24 11:40,2592.8,30.75445,,,,
18.11.24 11:45,2592.66,30.7395,,,,
18.11.24 11:50,2591.3,30.72865,,,,
18.11.24 11:55,2594.17,30.7615,,,,
18.11.24 12:00,2592.5,30.742,,,,
18.11.24 12:05,2592,30.75,,,,
18.11.24 12:10,2592.72,30.764,,,,
18.11.24 12:15,2592.68,30.772,,,,
18.11.24 12:20,2594.56,30.801,,,,
18.11.24 12:25,2594.24,30.781,,,,
18.11.24 12:30,2593.59,30.7824,,,,
18.11.24 12:35,2591,30.7312,,,,
18.11.24 12:40,2592.39,30.7345,,,,
18.11.24 12:45,2594.1,30.7607,,,,
18.11.24 12:50,2593.41,30.75595,,,,
18.11.24 12:55,2594.5,30.749,,,,
18.11.24 13:00,2592.68,30.735,,,,
18.11.24 13:05,2591.79,30.72375,,,,
18.11.24 13:10,2592.63,30.7335,,,,
18.11.24 13:15,2591.65,30.72,,,,
18.11.24 13:20,2591.7,30.7275,,,,
18.11.24 13:25,2591.01,30.70825,,,,
18.11.24 13:30,2592.21,30.7445,,,,
18.11.24 13:35,2594.52,30.7885,,,,
18.11.24 13:40,2594.91,30.78595,,,,
18.11.24 13:45,2594.83,30.82045,,,,
18.11.24 13:50,2595.03,30.82515,,,,
18.11.24 13:55,2595.11,30.81785,,,,
18.11.24 14:00,2597.86,30.86175,,,,
18.11.24 14:05,2595.52,30.811,,,,
18.11.24 14:10,2597.09,30.87575,,,,
18.11.24 14:15,2596.58,30.844,,,,
18.11.24 14:20,2596.79,30.86475,,,,
18.11.24 14:25,2599.19,30.925,,,,
18.11.24 14:30,2601.63,30.956,,,,
18.11.24 14:35,2603.14,30.9835,,,,
18.11.24 14:40,2602.96,30.976,,,,
18.11.24 14:45,2604.15,30.9875,,,,
18.11.24 14:50,2604.85,30.9675,,,,
18.11.24 14:55,2604,30.9235,,,,
18.11.24 15:00,2603.78,30.9595,,,,
18.11.24 15:05,2605.04,30.938,,,,
18.11.24 15:10,2607.48,30.9605,,,,
18.11.24 15:15,2606.36,30.9474,,,,
18.11.24 15:20,2603.64,30.91625,,,,
18.11.24 15:25,2604.48,30.919,,,,
18.11.24 15:30,2608.93,31.0985,,,,
18.11.24 15:35,2610.01,31.1225,,,,
18.11.24 15:40,2608.07,31.083,,,,
18.11.24 15:45,2607.92,31.052,,,,
18.11.24 15:50,2606.88,31.0505,,,,
18.11.24 15:55,2608.78,31.1345,,,,
18.11.24 16:00,2608.34,31.13575,,,,
18.11.24 16:05,2608.95,31.1514,,,,
18.11.24 16:10,2609.03,31.1705,,,,
18.11.24 16:15,2610.52,31.163,,,,
18.11.24 16:20,2610.87,31.19,,,,
18.11.24 16:25,2611.58,31.2365,,,,
18.11.24 16:30,2612.09,31.2357,,,,
18.11.24 16:35,2612.19,31.238,,,,
18.11.24 16:40,2610.84,31.1855,,,,
18.11.24 16:45,2609.7,31.188,,,,
18.11.24 16:50,2611.24,31.1715,,,,
18.11.24 16:55,2613.17,31.20325,,,,
18.11.24 17:00,2613.54,31.239,,,,
18.11.24 17:05,2614.23,31.248,,,,
18.11.24 17:10,2613.13,31.225,,,,
18.11.24 17:15,2614.36,31.2355,,,,
18.11.24 17:20,2612.61,31.1814,,,,
18.11.24 17:25,2611.91,31.1565,,,,
18.11.24 17:30,2611.17,31.18775,,,,
18.11.24 17:35,2610.73,31.2045,,,,
18.11.24 17:40,2610.32,31.2185,,,,
18.11.24 17:45,2611.29,31.2265,,,,
18.11.24 17:50,2611.55,31.23825,,,,
18.11.24 17:55,2611.63,31.24345,,,,
18.11.24 18:00,2611.07,31.2245,,,,
18.11.24 18:05,2609.18,31.1795,,,,
18.11.24 18:10,2609.62,31.17575,,,,
18.11.24 18:15,2608.7,31.151,,,,
18.11.24 18:20,2608.11,31.14065,,,,
18.11.24 18:25,2608.47,31.1685,,,,
18.11.24 18:30,2607.74,31.1655,,,,
18.11.24 18:35,2608.16,31.15525,,,,
18.11.24 18:40,2610.8,31.192,,,,
18.11.24 18:45,2610.74,31.191,,,,
18.11.24 18:50,2611.09,31.19125,,,,
18.11.24 18:55,2610.42,31.16775,,,,
18.11.24 19:00,2610.07,31.153,,,,
18.11.24 19:05,2610.46,31.173,,,,
18.11.24 19:10,2609.49,31.14875,,,,
18.11.24 19:15,2608.41,31.1465,,,,
18.11.24 19:20,2608.73,31.1415,,,,
18.11.24 19:25,2610.25,31.099,,,,
18.11.24 19:30,2608.59,31.067,,,,
18.11.24 19:35,2608.86,31.0945,,,,
18.11.24 19:40,2608.33,31.051,,,,
18.11.24 19:45,2609.83,31.07055,,,,
18.11.24 19:50,2611.64,31.1057,,,,
18.11.24 19:55,2611.25,31.0735,,,,
18.11.24 20:00,2610.9,31.0732,,,,
18.11.24 20:05,2612.64,31.1025,,,,
18.11.24 20:10,2612.14,31.08925,,,,
18.11.24 20:15,2610.56,31.075,,,,
18.11.24 20:20,2610.44,31.065,,,,
18.11.24 20:25,2609.43,31.073,,,,
18.11.24 20:30,2610.07,31.0945,,,,
18.11.24 20:35,2609,31.0575,,,,
18.11.24 20:40,2608.87,31.057,,,,
18.11.24 20:45,2610.14,31.08355,,,,
18.11.24 20:50,2610.3,31.094,,,,
18.11.24 20:55,2609.82,31.0885,,,,
18.11.24 21:00,2610.72,31.1158,,,,
18.11.24 21:05,2610.13,31.115,,,,
18.11.24 21:10,2610.59,31.14575,,,,
18.11.24 21:15,2611.2,31.1375,,,,
18.11.24 21:20,2610.8,31.1535,,,,
18.11.24 21:25,2610.25,31.1615,,,,
18.11.24 21:30,2609.42,31.13605,,,,
18.11.24 21:35,2609.02,31.11815,,,,
18.11.24 21:40,2608.59,31.1145,,,,
18.11.24 21:45,2609.6,31.1185,,,,
18.11.24 21:50,2610.82,31.1215,,,,
18.11.24 21:55,2610.44,31.1279,,,,
18.11.24 22:00,2610.51,31.1395,,,,
18.11.24 22:05,2610.3,31.13105,,,,
18.11.24 22:10,2610.51,31.14295,,,,
18.11.24 22:15,2611.16,31.1555,,,,
18.11.24 22:20,2611.12,31.15655,,,,
18.11.24 22:25,2610.94,31.15195,,,,
18.11.24 22:30,2611.09,31.16,,,,
18.11.24 22:35,2611.69,31.16075,,,,
18.11.24 22:40,2611.76,31.1605,,,,
18.11.24 22:45,2612.31,31.1645,,,,
18.11.24 22:50,2612.37,31.17745,,,,
18.11.24 22:55,2611.83,31.1733,,,,
18.11.24 23:00,2611.75,31.1488,,,,
19.11.24 00:00,2610.67,31.18055,,,,
19.11.24 00:05,2611.51,31.16515,,,,
19.11.24 00:10,2611.58,31.16915,,,,
19.11.24 00:15,2612.27,31.17375,,,,
19.11.24 00:20,2612.32,31.1782,,,,
19.11.24 00:25,2612.54,31.1764,,,,
19.11.24 00:30,2612.53,31.171,,,,
19.11.24 00:35,2612.74,31.171,,,,
19.11.24 00:40,2612.8,31.16705,,,,
19.11.24 00:45,2612.56,31.17465,,,,
19.11.24 00:50,2612.7,31.17125,,,,
19.11.24 00:55,2612.8,31.15965,,,,
19.11.24 01:00,2611.42,31.1623,,,,
19.11.24 01:05,2611.93,31.1478,,,,
19.11.24 01:10,2611.46,31.1675,,,,
19.11.24 01:15,2611.95,31.1555,,,,
19.11.24 01:20,2611.3,31.168,,,,
19.11.24 01:25,2612.51,31.15025,,,,
19.11.24 01:30,2612.41,31.1415,,,,
19.11.24 01:35,2612.36,31.135,,,,
19.11.24 01:40,2612.17,31.14325,,,,
19.11.24 01:45,2612.34,31.1595,,,,
19.11.24 01:50,2613.24,31.1625,,,,
19.11.24 01:55,2613.67,31.171,,,,
19.11.24 02:00,2614.79,31.2005,,,,
19.11.24 02:05,2615.26,31.2185,,,,
19.11.24 02:10,2617.77,31.2025,,,,
19.11.24 02:15,2615.81,31.19125,,,,
19.11.24 02:20,2615.07,31.18255,,,,
19.11.24 02:25,2613.2,31.2253,,,,
19.11.24 02:30,2614.21,31.2279,,,,
19.11.24 02:35,2615.94,31.233,,,,
19.11.24 02:40,2615.37,31.2245,,,,
19.11.24 02:45,2615.8,31.2545,,,,
19.11.24 02:50,2616.2,31.2655,,,,
19.11.24 02:55,2615.76,31.27,,,,
19.11.24 03:00,2616.95,31.259,,,,
19.11.24 03:05,2618.01,31.2605,,,,
19.11.24 03:10,2618.47,31.277,,,,
19.11.24 03:15,2618.97,31.266,,,,
19.11.24 03:20,2618.32,31.2685,,,,
19.11.24 03:25,2619.47,31.3085,,,,
19.11.24 03:30,2620.99,31.3125,,,,
19.11.24 03:35,2622.61,31.3265,,,,
19.11.24 03:40,2623.36,31.3265,,,,
19.11.24 03:45,2622.79,31.31355,,,,
19.11.24 03:50,2621.86,31.338,,,,
19.11.24 03:55,2622.68,31.3765,,,,
19.11.24 04:00,2624.03,31.4064,,,,
19.11.24 04:05,2624.52,31.42025,,,,
19.11.24 04:10,2625.03,31.418,,,,
19.11.24 04:15,2624.71,31.3887,,,,
19.11.24 04:20,2624.28,31.39075,,,,
19.11.24 04:25,2624.22,31.363,,,,
19.11.24 04:30,2623.14,31.3385,,,,
19.11.24 04:35,2621.68,31.3565,,,,
19.11.24 04:40,2622.92,31.361,,,,
19.11.24 04:45,2624.05,31.3625,,,,
19.11.24 04:50,2624.5,31.37425,,,,
19.11.24 04:55,2624.53,31.3618,,,,
19.11.24 05:00,2623.27,31.3629,,,,
19.11.24 05:05,2623.5,31.368,,,,
19.11.24 05:10,2623.54,31.35165,,,,
19.11.24 05:15,2622.67,31.3464,,,,
19.11.24 05:20,2622.14,31.33715,,,,
19.11.24 05:25,2622.14,31.3315,,,,
19.11.24 05:30,2621.82,31.347,,,,
19.11.24 05:35,2623.04,31.3541,,,,
19.11.24 05:40,2624.36,31.364,,,,
19.11.24 05:45,2624.59,31.32765,,,,
19.11.24 05:50,2623.04,31.31725,,,,
19.11.24 05:55,2622.98,31.287,,,,
19.11.24 06:00,2622.47,31.2877,,,,
19.11.24 06:05,2622.31,31.2915,,,,
19.11.24 06:10,2622.7,31.2672,,,,
19.11.24 06:15,2622.22,31.2765,,,,
19.11.24 06:20,2622.94,31.27465,,,,
19.11.24 06:25,2622.67,31.296,,,,
19.11.24 06:30,2623.05,31.284,,,,
19.11.24 06:35,2622.88,31.293,,,,
19.11.24 06:40,2623.15,31.28875,,,,
19.11.24 06:45,2622.43,31.289,,,,
19.11.24 06:50,2621.91,31.322,,,,
19.11.24 06:55,2622.45,31.35205,,,,
19.11.24 07:00,2623.3,31.3365,,,,
19.11.24 07:05,2621.57,31.352,,,,
19.11.24 07:10,2622.22,31.381,,,,
19.11.24 07:15,2622.62,31.38465,,,,
19.11.24 07:20,2622.71,31.35725,,,,
19.11.24 07:25,2622.46,31.3153,,,,
19.11.24 07:30,2621.93,31.30865,,,,
19.11.24 07:35,2622.12,31.317,,,,
19.11.24 07:40,2623.42,31.317,,,,
19.11.24 07:45,2624.58,31.33,,,,
19.11.24 07:50,2626.07,31.30675,,,,
19.11.24 07:55,2625.3,31.2505,,,,
19.11.24 08:00,2622.72,31.228,,,,
19.11.24 08:05,2620.39,31.214,,,,
19.11.24 08:10,2619.12,31.2445,,,,
19.11.24 08:15,2619.41,31.2309,,,,
19.11.24 08:20,2618.75,31.217,,,,
19.11.24 08:25,2618.66,31.2425,,,,
19.11.24 08:30,2618.91,31.2855,,,,
19.11.24 08:35,2620.88,31.2815,,,,
19.11.24 08:40,2620.64,31.244,,,,
19.11.24 08:45,2619.32,31.247,,,,
19.11.24 08:50,2618.88,31.246,,,,
19.11.24 08:55,2618.87,31.28375,,,,
19.11.24 09:00,2620.01,31.257,,,,
19.11.24 09:05,2619.48,31.2405,,,,
19.11.24 09:10,2619.47,31.245,,,,
19.11.24 09:15,2620.79,31.2545,,,,
19.11.24 09:20,2619.91,31.239,,,,
19.11.24 09:25,2620.09,31.2075,,,,
19.11.24 09:30,2620.08,31.212,,,,
19.11.24 09:35,2621.87,31.26925,,,,
19.11.24 09:40,2626.73,31.304,,,,
19.11.24 09:45,2626.46,31.2855,,,,
19.11.24 09:50,2625.32,31.34,,,,
19.11.24 09:55,2625.97,31.4075,,,,
19.11.24 10:00,2627.31,31.39275,,,,
19.11.24 10:05,2626.04,31.4035,,,,
19.11.24 10:10,2626.38,31.4735,,,,
19.11.24 10:15,2629.73,31.47625,,,,
19.11.24 10:20,2631,31.4295,,,,
19.11.24 10:25,2630.53,31.47925,,,,
19.11.24 10:30,2633.25,31.45925,,,,
19.11.24 10:35,2633.52,31.4155,,,,
19.11.24 10:40,2630.98,31.3885,,,,
19.11.24 10:45,2630.87,31.4035,,,,
19.11.24 10:50,2630.08,31.38495,,,,
19.11.24 10:55,2630.06,31.41555,,,,
19.11.24 11:00,2632.99,31.45,,,,
19.11.24 11:05,2634.62,31.42875,,,,
19.11.24 11:10,2634.32,31.4205,,,,
19.11.24 11:15,2633.75,31.4085,,,,
19.11.24 11:20,2632.02,31.421,,,,
19.11.24 11:25,2634.73,31.394,,,,
19.11.24 11:30,2633.63,31.41025,,,,
19.11.24 11:35,2634.52,31.40455,,,,
19.11.24 11:40,2635.03,31.4335,,,,
19.11.24 11:45,2636.32,31.419,,,,
19.11.24 11:50,2635.34,31.417,,,,
19.11.24 11:55,2635.09,31.40325,,,,
19.11.24 12:00,2634.54,31.41575,,,,
19.11.24 12:05,2634.98,31.395,,,,
19.11.24 12:10,2634.79,31.3605,,,,
19.11.24 12:15,2635.15,31.34235,,,,
19.11.24 12:20,2635.36,31.333,,,,
19.11.24 12:25,2634.57,31.311,,,,
19.11.24 12:30,2632.62,31.32625,,,,
19.11.24 12:35,2632.98,31.326,,,,
19.11.24 12:40,2633.84,31.30875,,,,
19.11.24 12:45,2632.8,31.315,,,,
19.11.24 12:50,2631.99,31.2945,,,,
19.11.24 12:55,2629.59,31.292,,,,
19.11.24 13:00,2630.03,31.283,,,,
19.11.24 13:05,2630.17,31.324,,,,
19.11.24 13:10,2631.39,31.3135,,,,
19.11.24 13:15,2633.33,31.33625,,,,
19.11.24 13:20,2635.03,31.351,,,,
19.11.24 13:25,2635.85,31.33775,,,,
19.11.24 13:30,2635.72,31.3335,,,,
19.11.24 13:35,2636.32,31.368,,,,
19.11.24 13:40,2635.41,31.39225,,,,
19.11.24 13:45,2634.2,31.4155,,,,
19.11.24 13:50,2635.73,31.4345,,,,
19.11.24 13:55,2639.27,31.401,,,,
19.11.24 14:00,2638.12,31.4085,,,,
19.11.24 14:05,2638.38,31.399,,,,
19.11.24 14:10,2637.88,31.312,,,,
19.11.24 14:15,2633.99,31.25375,,,,
19.11.24 14:20,2631.37,31.22165,,,,
19.11.24 14:25,2630.33,31.26325,,,,
19.11.24 14:30,2633.83,31.24875,,,,
19.11.24 14:35,2632.78,31.286,,,,
19.11.24 14:40,2634.63,31.2505,,,,
19.11.24 14:45,2632.7,31.29175,,,,
19.11.24 14:50,2636.28,31.306,,,,
19.11.24 14:55,2635.16,31.3235,,,,
19.11.24 15:00,2635.56,31.304,,,,
19.11.24 15:05,2632.32,31.26375,,,,
19.11.24 15:10,2630.33,31.147,,,,
19.11.24 15:15,2626.42,31.143,,,,
19.11.24 15:20,2625.76,31.2205,,,,
19.11.24 15:25,2628.7,31.18925,,,,
19.11.24 15:30,2627.28,31.17975,,,,
19.11.24 15:35,2627.21,31.237,,,,
19.11.24 15:40,2629.7,31.207,,,,
19.11.24 15:45,2628.9,31.132,,,,
19.11.24 15:50,2625.86,31.0785,,,,
19.11.24 15:55,2623.04,31.11425,,,,
19.11.24 16:00,2624.16,31.143,,,,
19.11.24 16:05,2626.25,31.20175,,,,
19.11.24 16:10,2628.58,31.164,,,,
19.11.24 16:15,2626.09,31.17525,,,,
19.11.24 16:20,2627.53,31.1935,,,,
19.11.24 16:25,2627.74,31.14215,,,,
19.11.24 16:30,2624.27,31.15625,,,,
19.11.24 16:35,2624.48,31.204,,,,
19.11.24 16:40,2626.54,31.16425,,,,
19.11.24 16:45,2624.74,31.133,,,,
19.11.24 16:50,2623.67,31.1055,,,,
19.11.24 16:55,2624.7,31.0675,,,,
19.11.24 17:00,2624.01,31.129,,,,
19.11.24 17:05,2625.68,31.12575,,,,
19.11.24 17:10,2625.21,31.198,,,,
19.11.24 17:15,2628.25,31.152,,,,
19.11.24 17:20,2625.59,31.1245,,,,
19.11.24 17:25,2624.33,31.105,,,,
19.11.24 17:30,2623.37,31.13375,,,,
19.11.24 17:35,2623.88,31.09975,,,,
19.11.24 17:40,2623.2,31.1175,,,,
19.11.24 17:45,2623.51,31.16425,,,,
19.11.24 17:50,2626.18,31.15025,,,,
19.11.24 17:55,2626.29,31.159,,,,
19.11.24 18:00,2627.25,31.189,,,,
19.11.24 18:05,2628.51,31.23,,,,
19.11.24 18:10,2629.66,31.24,,,,
19.11.24 18:15,2630.8,31.2395,,,,
19.11.24 18:20,2632.4,31.253,,,,
19.11.24 18:25,2632.71,31.2415,,,,
19.11.24 18:30,2631.05,31.23,,,,
19.11.24 18:35,2631.16,31.2065,,,,
19.11.24 18:40,2630.14,31.2035,,,,
19.11.24 18:45,2629.3,31.184,,,,
19.11.24 18:50,2628.63,31.1865,,,,
19.11.24 18:55,2628.1,31.1585,,,,
19.11.24 19:00,2627.94,31.17775,,,,
19.11.24 19:05,2628.65,31.18225,,,,
19.11.24 19:10,2628.87,31.1795,,,,
19.11.24 19:15,2628.86,31.17325,,,,
19.11.24 19:20,2628.37,31.1565,,,,
19.11.24 19:25,2627.23,31.1615,,,,
19.11.24 19:30,2627.29,31.17975,,,,
19.11.24 19:35,2628.25,31.19425,,,,
19.11.24 19:40,2628.98,31.2085,,,,
19.11.24 19:45,2629.35,31.22875,,,,
19.11.24 19:50,2630.1,31.2405,,,,
19.11.24 19:55,2630.34,31.25725,,,,
19.11.24 20:00,2630.99,31.2545,,,,
19.11.24 20:05,2630.45,31.2675,,,,
19.11.24 20:10,2631.36,31.2345,,,,
19.11.24 20:15,2629.51,31.25375,,,,
19.11.24 20:20,2630.96,31.2425,,,,
19.11.24 20:25,2630.19,31.244,,,,
19.11.24 20:30,2629.59,31.2555,,,,
19.11.24 20:35,2630.01,31.2485,,,,
19.11.24 20:40,2630.28,31.266,,,,
19.11.24 20:45,2630.72,31.272,,,,
19.11.24 20:50,2631.1,31.2575,,,,
19.11.24 20:55,2630.8,31.271,,,,
19.11.24 21:00,2631.29,31.2705,,,,
19.11.24 21:05,2631.07,31.28175,,,,
19.11.24 21:10,2631.78,31.28375,,,,
19.11.24 21:15,2631.89,31.281,,,,
19.11.24 21:20,2632.28,31.28,,,,
19.11.24 21:25,2632.01,31.25825,,,,
19.11.24 21:30,2631.4,31.26925,,,,
19.11.24 21:35,2632.22,31.2745,,,,
19.11.24 21:40,2632.39,31.29325,,,,
19.11.24 21:45,2633.84,31.2975,,,,
19.11.24 21:50,2634.18,31.26925,,,,
19.11.24 21:55,2633.91,31.2355,,,,
19.11.24 22:00,2632.22,31.237,,,,
19.11.24 22:05,2631.94,31.2365,,,,
19.11.24 22:10,2631.59,31.2255,,,,
19.11.24 22:15,2630.72,31.242,,,,
19.11.24 22:20,2632.27,31.242,,,,
19.11.24 22:25,2632.84,31.2265,,,,
19.11.24 22:30,2632.62,31.22675,,,,
19.11.24 22:35,2632.28,31.2245,,,,
19.11.24 22:40,2632.38,31.2165,,,,
19.11.24 22:45,2632.02,31.2125,,,,
19.11.24 22:50,2632.63,31.2115,,,,
19.11.24 22:55,2632.08,31.2125,,,,
19.11.24 23:00,2632.27,31.2225,,,,
20.11.24 00:00,2632.51,31.23175,,,,
20.11.24 00:05,2632.3,31.242,,,,
20.11.24 00:10,2633.42,31.24925,,,,
20.11.24 00:15,2634.01,31.259,,,,
20.11.24 00:20,2633.89,31.2695,,,,
20.11.24 00:25,2634.14,31.27,,,,
20.11.24 00:30,2634.42,31.281,,,,
20.11.24 00:35,2634.63,31.29025,,,,
20.11.24 00:40,2634.87,31.295,,,,
20.11.24 00:45,2634.89,31.29125,,,,
20.11.24 00:50,2635.02,31.2945,,,,
20.11.24 00:55,2635.15,31.3065,,,,
20.11.24 01:00,2635.26,31.2985,,,,
20.11.24 01:05,2636.14,31.2875,,,,
20.11.24 01:10,2636.43,31.2955,,,,
20.11.24 01:15,2636.52,31.30925,,,,
20.11.24 01:20,2637.41,31.2915,,,,
20.11.24 01:25,2637.92,31.28125,,,,
20.11.24 01:30,2638.16,31.28125,,,,
20.11.24 01:35,2637.96,31.27825,,,,
20.11.24 01:40,2638.05,31.285,,,,
20.11.24 01:45,2638.34,31.277,,,,
20.11.24 01:50,2638.93,31.3014,,,,
20.11.24 01:55,2638.05,31.25375,,,,
20.11.24 02:00,2640.11,31.20565,,,,
20.11.24 02:05,2639.9,31.206,,,,
20.11.24 02:10,2638.76,31.20525,,,,
20.11.24 02:15,2639.44,31.17275,,,,
20.11.24 02:20,2639.89,31.1615,,,,
20.11.24 02:25,2636.73,31.1915,,,,
20.11.24 02:30,2636.46,31.198,,,,
20.11.24 02:35,2638.72,31.19675,,,,
20.11.24 02:40,2639.19,31.16775,,,,
20.11.24 02:45,2640.04,31.181,,,,
20.11.24 02:50,2639.65,31.147,,,,
20.11.24 02:55,2639.78,31.1397,,,,
